#,title,author,rating,author gender,author race,lgbtq+?,genre,type,notes
1,pretty girls,karin slaughter,4,f,w,n,thriller,,
2,"red, white and royal blue",casey mcquiston,4.5,f,w,y,contemporary,,
3,to kill a kingdom,alexandra christo,3.5,f,w,n,fantasy,,
4,glyceride,junji ito,n/a,m,a,n,horror,manga,
5,oedipus cycle,sophocles,n/a,m,w,n,mythology,play,for school
6,tokyo ghoul vol. 1,sui ishida,4.5,m,a,n,"dark fantasy, horror",manga,
7,wicked fox,kat cho,3,f,a,n,fantasy,,
8,the 7 1/2 deaths of evelyn hardcastle,stuart turton,5,m,w,n,mystery,,
9,girl made of stars,ashley herring blake,4,f,w,y,contemporary,,
10,tell me again how a crush should feel,sara farizan,1.5,f,a,y,contemporary,,
11,misery,stephen king,2,m,w,n,thriller,,
12,long way down,jason reynolds,4,m,b,n,"contemporary, poetry",,
13,dear martin,nic stone,4,f,b,n,contemporary,,
14,quiet,susan cain,4.5,f,w,n,non-fiction,non-fiction,
15,eight perfect murders,peter swanson,4,m,w,n,mystery,,
16,i'm thinking of ending things,iain reid,1,m,w,n,thriller,,
17,the selection,kiera cass,2,f,w,n,fantasy,,reread
18,the elite,kiera cass,2,f,w,n,fantasy,,reread
19,nimona,noelle stevenson,5,f,w,y,fantasy,graphic novel,reread
20,the silent patient,alex michaelides,3.5,m,w,n,mystery,,
21,wishful drinking,carrie fisher,4,f,w,n,memoir,memoir,
22,the princess diarist,carrie fisher,4,f,w,n,memoir,memoir,
,,,,,,,,,
,STATS,,,,,,,,
,books read,22,,,,,,,
,rating,2 x 5 stars (9%),11 x 4 stars (50%),2 x 3 stars (9%),3 x 2 stars (14%),2 x 1 star (9%),2 no rating (9%),"avg rating:
3.4 stars",
,author gender,13 female (59%),9 male (41%),,,,,,
,author race,16 white (73%),4 asian (18%),2 black (9%),,,,,
,lgbtq+,4 (18%),,,,,,,
